Station ,2011,2012,2013,2014,2015,2016,Borough
Fresh Pond Rd ,5431,5545,5333,5677,6002,6130,Queens
Grand Av-Newtown ,17886,18108,18298,18413,18955,19373,Queens
Howard Beach-JFK Airport ,2729,3227,4972,2835,3059,3011,Queens
Hunters Point Av ,6113,6521,6400,6666,6803,7292,Queens
Jamaica Center-Parsons-Archer ,40423,41130,41686,42261,42115,41603,Queens
Jamaica-179 St ,23174,23330,23280,23093,23417,23121,Queens
Jamaica-Van Wyck ,4882,4930,4992,5121,5092,5022,Queens
Junction Blvd ,21240,20938,20818,21116,21557,22051,Queens
Kew Gardens-Union Turnpike ,27280,27884,28289,27693,27558,27085,Queens
Mets-Willets Point ,4472,4618,4675,4555,5244,5367,Queens
Middle Village-Metropolitan Av ,3983,4053,4092,4318,4489,4530,Queens
Northern Blvd ,7049,7201,7235,7431,7428,7413,Queens
Ozone Park-Lefferts Blvd ,7491,7460,7476,7641,7732,8023,Queens
Parsons Blvd ,6174,6329,6463,6540,6640,6644,Queens
Queens Plaza ,8869,9695,9696,10125,10475,10652,Queens
Queensboro Plaza ,9577,10752,11132,11554,11786,12936,Queens
Rockaway Blvd ,7786,8045,8662,8474,5690,7683,Queens
Rockaway Park-Beach 116 St ,845,741,379,677,747,727,Queens
Seneca Av ,2433,2461,2428,2545,2726,2832,Queens
Steinway St ,15036,15061,14769,14870,14895,14836,Queens
Sutphin Blvd ,4693,4760,4932,4795,4851,4652,Queens
Sutphin Blvd-Archer Av-JFK Airport ,21630,22285,23012,23747,24349,24796,Queens
Vernon Blvd-Jackson Av ,10450,11541,12610,14123,14819,15910,Queens
Woodhaven Blvd ,4433,4464,4576,4796,4940,4838,Queens
Woodhaven Blvd ,22502,22521,22276,22156,22220,22483,Queens
Woodside-61 St ,16734,16698,16559,16807,17007,17236,Queens
